Word,Neg,Pos
ABANDON,-1,0
ABANDONED,-1,0
ABANDONING,-1,0
ABANDONMENT,-1,0
ABANDONMENTS,-1,0
ABANDONS,-1,0
ABDICATED,-1,0
ABDICATES,-1,0
ABDICATING,-1,0
ABDICATION,-1,0
ABDICATIONS,-1,0
ABERRANT,-1,0
ABERRATION,-1,0
ABERRATIONAL,-1,0
ABERRATIONS,-1,0
ABETTING,-1,0
ABLE,0,1
ABNORMAL,-1,0
ABNORMALITIES,-1,0
ABNORMALITY,-1,0
ABNORMALLY,-1,0
ABOLISH,-1,0
ABOLISHED,-1,0
ABOLISHES,-1,0
ABOLISHING,-1,0
ABROGATE,-1,0
ABROGATED,-1,0
ABROGATES,-1,0
ABROGATING,-1,0
ABROGATION,-1,0
ABROGATIONS,-1,0
ABRUPT,-1,0
ABRUPTLY,-1,0
ABRUPTNESS,-1,0
ABSENCE,-1,0
ABSENCES,-1,0
ABSENTEEISM,-1,0
ABUNDANCE,0,1
ABUNDANT,0,1
ABUSE,-1,0
ABUSED,-1,0
ABUSES,-1,0
ABUSING,-1,0
ABUSIVE,-1,0
ABUSIVELY,-1,0
ABUSIVENESS,-1,0
ACCIDENT,-1,0
ACCIDENTAL,-1,0
ACCIDENTALLY,-1,0
ACCIDENTS,-1,0
ACCLAIMED,0,1
ACCOMPLISH,0,1
ACCOMPLISHED,0,1
ACCOMPLISHES,0,1
ACCOMPLISHING,0,1
ACCOMPLISHMENT,0,1
ACCOMPLISHMENTS,0,1
ACCUSATION,-1,0
ACCUSATIONS,-1,0
ACCUSE,-1,0
ACCUSED,-1,0
ACCUSES,-1,0
ACCUSING,-1,0
ACHIEVE,0,1
ACHIEVED,0,1
ACHIEVEMENT,0,1
ACHIEVEMENTS,0,1
ACHIEVES,0,1
ACHIEVING,0,1
ACQUIESCE,-1,0
ACQUIESCED,-1,0
ACQUIESCES,-1,0
ACQUIESCING,-1,0
ACQUIT,-1,0
ACQUITS,-1,0
ACQUITTAL,-1,0
ACQUITTALS,-1,0
ACQUITTED,-1,0
ACQUITTING,-1,0
ADEQUATELY,0,1
ADULTERATE,-1,0
ADULTERATED,-1,0
ADULTERATING,-1,0
ADULTERATION,-1,0
ADULTERATIONS,-1,0
ADVANCEMENT,0,1
ADVANCEMENTS,0,1
ADVANCES,0,1
ADVANCING,0,1
ADVANTAGE,0,1
ADVANTAGED,0,1
ADVANTAGEOUS,0,1
ADVANTAGEOUSLY,0,1
ADVANTAGES,0,1
ADVERSARIAL,-1,0
ADVERSARIES,-1,0
ADVERSARY,-1,0
ADVERSE,-1,0
ADVERSELY,-1,0
ADVERSITIES,-1,0
ADVERSITY,-1,0
AFTERMATH,-1,0
AFTERMATHS,-1,0
AGAINST,-1,0
AGGRAVATE,-1,0
AGGRAVATED,-1,0
AGGRAVATES,-1,0
AGGRAVATING,-1,0
AGGRAVATION,-1,0
AGGRAVATIONS,-1,0
ALERTED,-1,0
ALERTING,-1,0
ALIENATE,-1,0
ALIENATED,-1,0
ALIENATES,-1,0
ALIENATING,-1,0
ALIENATION,-1,0
ALIENATIONS,-1,0
ALLEGATION,-1,0
ALLEGATIONS,-1,0
ALLEGE,-1,0
ALLEGED,-1,0
ALLEGEDLY,-1,0
ALLEGES,-1,0
ALLEGING,-1,0
ALLIANCE,0,1
ALLIANCES,0,1
ANNOY,-1,0
ANNOYANCE,-1,0
ANNOYANCES,-1,0
ANNOYED,-1,0
ANNOYING,-1,0
ANNOYS,-1,0
ANNUL,-1,0
ANNULLED,-1,0
ANNULLING,-1,0
ANNULMENT,-1,0
ANNULMENTS,-1,0
ANNULS,-1,0
ANOMALIES,-1,0
ANOMALOUS,-1,0
ANOMALOUSLY,-1,0
ANOMALY,-1,0
ANTICOMPETITIVE,-1,0
ANTITRUST,-1,0
ARGUE,-1,0
ARGUED,-1,0
ARGUING,-1,0
ARGUMENT,-1,0
ARGUMENTATIVE,-1,0
ARGUMENTS,-1,0
ARREARAGE,-1,0
ARREARAGES,-1,0
ARREARS,-1,0
ARREST,-1,0
ARRESTED,-1,0
ARRESTS,-1,0
ARTIFICIALLY,-1,0
ASSAULT,-1,0
ASSAULTED,-1,0
ASSAULTING,-1,0
ASSAULTS,-1,0
ASSERTIONS,-1,0
ASSURE,0,1
ASSURED,0,1
ASSURES,0,1
ASSURING,0,1
ATTAIN,0,1
ATTAINED,0,1
ATTAINING,0,1
ATTAINMENT,0,1
ATTAINMENTS,0,1
ATTAINS,0,1
ATTRACTIVE,0,1
ATTRACTIVENESS,0,1
ATTRITION,-1,0
AVERSELY,-1,0
BACKDATING,-1,0
BAD,-1,0
BAIL,-1,0
BAILOUT,-1,0
BALK,-1,0
BALKED,-1,0
BANKRUPT,-1,0
BANKRUPTCIES,-1,0
BANKRUPTCY,-1,0
BANKRUPTED,-1,0
BANKRUPTING,-1,0
BANKRUPTS,-1,0
BANS,-1,0
BARRED,-1,0
BARRIER,-1,0
BARRIERS,-1,0
BEAUTIFUL,0,1
BEAUTIFULLY,0,1
BENEFICIAL,0,1
BENEFICIALLY,0,1
BENEFIT,0,1
BENEFITED,0,1
BENEFITING,0,1
BENEFITTED,0,1
BENEFITTING,0,1
BEST,0,1
BETTER,0,1
BOLSTERED,0,1
BOLSTERING,0,1
BOLSTERS,0,1
BOOM,0,1
BOOMING,0,1
BOOST,0,1
BOOSTED,0,1
BOTTLENECK,-1,0
BOTTLENECKS,-1,0
BOYCOTT,-1,0
BOYCOTTED,-1,0
BOYCOTTING,-1,0
BOYCOTTS,-1,0
BREACH,-1,0
BREACHED,-1,0
BREACHES,-1,0
BREACHING,-1,0
BREAK,-1,0
BREAKAGE,-1,0
BREAKAGES,-1,0
BREAKDOWN,-1,0
BREAKDOWNS,-1,0
BREAKING,-1,0
BREAKS,-1,0
BREAKTHROUGH,0,1
BREAKTHROUGHS,0,1
BRIBE,-1,0
BRIBED,-1,0
BRIBERIES,-1,0
BRIBERY,-1,0
BRIBES,-1,0
BRIBING,-1,0
BRIDGE,-1,0
BRILLIANT,0,1
BROKEN,-1,0
BURDEN,-1,0
BURDENED,-1,0
BURDENING,-1,0
BURDENS,-1,0
BURDENSOME,-1,0
BURNED,-1,0
CALAMITIES,-1,0
CALAMITOUS,-1,0
CALAMITY,-1,0
CANCEL,-1,0
CANCELED,-1,0
CANCELING,-1,0
CANCELLATION,-1,0
CANCELLATIONS,-1,0
CANCELLED,-1,0
CANCELLING,-1,0
CANCELS,-1,0
CARELESS,-1,0
CARELESSLY,-1,0
CARELESSNESS,-1,0
CATASTROPHE,-1,0
CATASTROPHES,-1,0
CATASTROPHIC,-1,0
CATASTROPHICALLY,-1,0
CAUTION,-1,0
CAUTIONARY,-1,0
CAUTIONED,-1,0
CAUTIONING,-1,0
CAUTIONS,-1,0
CEASE,-1,0
CEASED,-1,0
CEASES,-1,0
CEASING,-1,0
CENSURE,-1,0
CENSURED,-1,0
CENSURES,-1,0
CENSURING,-1,0
CHALLENGE,-1,0
CHALLENGED,-1,0
CHALLENGES,-1,0
CHALLENGING,-1,0
CHARGEOFFS,-1,0
CHARITABLE,0,1
CIRCUMVENT,-1,0
CIRCUMVENTED,-1,0
CIRCUMVENTING,-1,0
CIRCUMVENTION,-1,0
CIRCUMVENTIONS,-1,0
CIRCUMVENTS,-1,0
CLAIMING,-1,0
CLAIMS,-1,0
CLAWBACK,-1,0
CLOSED,-1,0
CLOSEOUT,-1,0
CLOSEOUTS,-1,0
CLOSING,-1,0
CLOSINGS,-1,0
CLOSURE,-1,0
CLOSURES,-1,0
COERCE,-1,0
COERCED,-1,0
COERCES,-1,0
COERCING,-1,0
COERCION,-1,0
COERCIVE,-1,0
COLLABORATE,0,1
COLLABORATED,0,1
COLLABORATES,0,1
COLLABORATING,0,1
COLLABORATION,0,1
COLLABORATIONS,0,1
COLLABORATIVE,0,1
COLLABORATOR,0,1
COLLABORATORS,0,1
COLLAPSE,-1,0
COLLAPSED,-1,0
COLLAPSES,-1,0
COLLAPSING,-1,0
COLLISION,-1,0
COLLISIONS,-1,0
